### Training datasets ###
Path, Frames
"2_high_pressure/16_ML/6_NPT_1GPa_50GPa_300K/dpdata/train/raw/", 86 
"2_high_pressure/18_ML/1_NPT_1GPa_5GPa/dpdata/train/raw/", 36 
"2_high_pressure/18_ML/2_NPT_5GPa/dpdata/train/raw/", 35 
"2_high_pressure/18_ML/3_NPT_5GPa_10GPa/dpdata/train/raw/", 36 
"2_high_pressure/18_ML/4_NPT_1GPa_50GPa_300K/dpdata/train/raw/", 180 
"2_high_pressure/19_ML/1_NPT_5GPa_10GPa/dpdata/train/raw/", 36 
"2_high_pressure/19_ML/2_NPT_10GPa_15GPa/dpdata/train/raw/", 36 
"2_high_pressure/19_ML/3_NPT_5GPa_6GPa/dpdata/train/raw/", 36 
"2_high_pressure/19_ML/4_NPT_1GPa_5GPa/dpdata/train/raw/", 90 
"2_high_pressure/22_ML/10_NPT_300K_10_50GPa/dpdata/train/raw/", 72 
"2_high_pressure/22_ML/11_NPT_300K_50GPa/dpdata/train/raw/", 36 
"2_high_pressure/22_ML/12_NPT_300K_50_100GPa/dpdata/train/raw/", 36 
"2_high_pressure/22_ML/13_NPT_300K_100GPa/dpdata/train/raw/", 36 
"2_high_pressure/22_ML/4_multiple_ind_5_50GPa/dpdata/train/raw/", 450 
"2_high_pressure/22_ML/6_NPT_300K_0_1GPa/dpdata/train/raw/", 72 
"2_high_pressure/22_ML/7_NPT_300K_1GPa/dpdata/train/raw/", 36 
"2_high_pressure/22_ML/8_NPT_300_1_10GPa/dpdata/train/raw/", 72 
"2_high_pressure/22_ML/9_NPT_300K_10GPa/dpdata/train/raw/", 36 
"2_high_pressure/23_ML/1_NPT/dpdata/train/raw/", 72 
"2_high_pressure/24_ML/16_NPT_50GPa_100GPa_100runs/dpdata/train/raw/", 450 
"2_high_pressure/24_ML/2_below_100GPa/dpdata/train/raw/", 72 
"2_high_pressure/24_ML/5_100_500GPa_1ns/dpdata/train/raw/", 90 
"2_high_pressure/25_ML/10_NPT_200GPa_100runs/dpdata/train/raw/", 450 
"2_high_pressure/25_ML/9_NPT_100GPa_200GPa_100runs/dpdata/train/raw/",  450

######### Validation Dataset ################

"1_high_temperature/10_ML/2_NPT_1600K/dpdata/val/raw/",  20 
"1_high_temperature/10_ML/3_NVT_1600K/dpdata/val/raw/",  20 
"1_high_temperature/11_ML/2_NPT_1600K/dpdata/val/raw/",  20 
"1_high_temperature/11_ML/3_NVT_1600K/dpdata/val/raw/",  20 
"1_high_temperature/11_ML/4_NVT_1600_3000K/dpdata/val/raw/",  20 
"1_high_temperature/11_ML/5_NPT_3000K/dpdata/val/raw/",  19 
"1_high_temperature/12_ML/4_NVT_1600_3000K/dpdata/val/raw/",  20 
"1_high_temperature/12_ML/5_NVT_3000K/dpdata/val/raw/",  20 
"1_high_temperature/12_ML/6_NPT_3000K/dpdata/val/raw/",  19 
"1_high_temperature/12_ML/7_NPT_1600_3000K/dpdata/val/raw/",  20 
"1_high_temperature/12_ML/8_NPT_1_10000bar/dpdata/val/raw/",  20 
"1_high_temperature/12_ML/9_NPT_3000K_10000bar/dpdata/val/raw/",  20 
"1_high_temperature/13_ML/5_NVT_3000K/dpdata/val/raw/",  20 
"1_high_temperature/13_ML/6_NPT_3000K/dpdata/val/raw/",  17 
"1_high_temperature/13_ML/7_NPT_1600_3000K/dpdata/val/raw/",  20 
"1_high_temperature/13_ML/8_NPT_1_10000bar/dpdata/val/raw/",  20 
"1_high_temperature/13_ML/9_NPT_3000K_10000bar/dpdata/val/raw/",  20 
"1_high_temperature/14_ML/5_NVT_3000K/dpdata/val/raw/",  20 
"1_high_temperature/14_ML/6_NPT_3000K/dpdata/val/raw/",  16 
"1_high_temperature/14_ML/7_NPT_1600_3000K/dpdata/val/raw/",  20 
"1_high_temperature/14_ML/8_NPT_1_10000bar/dpdata/val/raw/",  20 
"1_high_temperature/14_ML/9_NPT_3000K_10000bar/dpdata/val/raw/",  20 
"1_high_temperature/15_ML/5_NVT_3000K/dpdata/val/raw/",  20 
"1_high_temperature/15_ML/7_NPT_1600_3000K/dpdata/val/raw/",  20 
"1_high_temperature/15_ML/9_NPT_3000K_10000bar/dpdata/val/raw/",  20 
"1_high_temperature/16_ML/7_NPT_1600_3000K/dpdata/val/raw/",  20 
"1_high_temperature/16_ML/9_NPT_3000K_10000bar/dpdata/val/raw/",  20 
"1_high_temperature/6_ML/1_NVT/dpdata/val/raw/",  20 
"2_high_pressure/14_ML/4_NPT_1bar_1GPa_300K/dpdata/val/raw/",  20 
"2_high_pressure/14_ML/5_NPT_1GPa_300K/dpdata/val/raw/",  20 
"2_high_pressure/14_ML/6_NPT_1GPa_50GPa_300K/dpdata/val/raw/",  20 
"2_high_pressure/14_ML/7_NPT_50GPa_300K/dpdata/val/raw/",  7 
"2_high_pressure/16_ML/5_NPT_1GPa_300K/dpdata/val/raw/",  20 
"2_high_pressure/16_ML/6_NPT_1GPa_50GPa_300K/dpdata/val/raw/",  10 
"2_high_pressure/18_ML/1_NPT_1GPa_5GPa/dpdata/val/raw/",  4 
"2_high_pressure/18_ML/2_NPT_5GPa/dpdata/val/raw/",  4 
"2_high_pressure/18_ML/3_NPT_5GPa_10GPa/dpdata/val/raw/",  4 
"2_high_pressure/18_ML/4_NPT_1GPa_50GPa_300K/dpdata/val/raw/",  20 
"2_high_pressure/19_ML/1_NPT_5GPa_10GPa/dpdata/val/raw/",  4 
"2_high_pressure/19_ML/2_NPT_10GPa_15GPa/dpdata/val/raw/",  4 
"2_high_pressure/19_ML/3_NPT_5GPa_6GPa/dpdata/val/raw/",  4 
"2_high_pressure/19_ML/4_NPT_1GPa_5GPa/dpdata/val/raw/",  10 
"2_high_pressure/22_ML/10_NPT_300K_10_50GPa/dpdata/val/raw/",  8 
"2_high_pressure/22_ML/11_NPT_300K_50GPa/dpdata/val/raw/",  4 
"2_high_pressure/22_ML/12_NPT_300K_50_100GPa/dpdata/val/raw/",  4 
"2_high_pressure/22_ML/13_NPT_300K_100GPa/dpdata/val/raw/",  4 
"2_high_pressure/22_ML/4_multiple_ind_5_50GPa/dpdata/val/raw/",  50 
"2_high_pressure/22_ML/6_NPT_300K_0_1GPa/dpdata/val/raw/",  8 
"2_high_pressure/22_ML/7_NPT_300K_1GPa/dpdata/val/raw/",  4 
"2_high_pressure/22_ML/8_NPT_300_1_10GPa/dpdata/val/raw/",  8 
"2_high_pressure/22_ML/9_NPT_300K_10GPa/dpdata/val/raw/",  4 
"2_high_pressure/23_ML/1_NPT/dpdata/val/raw/",  8 
"2_high_pressure/24_ML/16_NPT_50GPa_100GPa_100runs/dpdata/val/raw/",  50 
"2_high_pressure/24_ML/2_below_100GPa/dpdata/val/raw/",  8 
"2_high_pressure/24_ML/5_100_500GPa_1ns/dpdata/val/raw/",  10 
"2_high_pressure/25_ML/10_NPT_200GPa_100runs/dpdata/val/raw/",  50 
"2_high_pressure/25_ML/9_NPT_100GPa_200GPa_100runs/dpdata/val/raw/",  50  
